name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,17,3,OPEN,2024-04-30 13:48:01,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,17,3,OPEN,2024-04-30 13:58:06,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,18,2,OPEN,2024-05-02 08:44:20,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,18,2,OPEN,2024-05-02 10:02:32,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,18,2,OPEN,2024-05-02 10:35:19,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,20,0,OPEN,2024-05-02 12:06:09,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,20,0,OPEN,2024-05-02 12:16:14,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,20,0,OPEN,2024-05-02 13:16:44,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,10,10,OPEN,2024-05-03 08:45:25,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,10,10,OPEN,2024-05-03 09:45:55,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,10,10,OPEN,2024-05-03 10:26:16,46.560761,15.64053
GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,False,False,20,10,10,OPEN,2024-05-03 10:56:31,46.560761,15.64053
