name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,10,10,OPEN,2024-04-30 13:49:39,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,11,9,OPEN,2024-04-30 14:02:21,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,2024-05-02 08:47:54,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-02 09:58:30,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-02 10:28:45,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-02 12:11:31,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-02 12:19:44,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,3,17,OPEN,2024-05-02 13:20:16,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,1,19,OPEN,2024-05-03 08:47:24,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-03 09:47:56,46.554741,15.659814
JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,False,False,20,2,18,OPEN,2024-05-03 10:18:12,46.554741,15.659814
