name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,17,3,OPEN,2024-04-30 13:48:39,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,14,6,OPEN,2024-04-30 14:07:15,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,13,7,OPEN,2024-05-02 08:45:09,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,12,8,OPEN,2024-05-02 09:55:57,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,12,8,OPEN,2024-05-02 10:36:14,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,14,6,OPEN,2024-05-02 12:13:58,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,15,5,OPEN,2024-05-02 12:20:15,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,13,7,OPEN,2024-05-02 13:17:52,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,20,0,OPEN,2024-05-03 08:45:30,46.559319,15.63498
KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,False,False,20,19,1,OPEN,2024-05-03 09:46:03,46.559319,15.63498
