name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,6,14,OPEN,2024-04-30 13:48:47,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,11,9,OPEN,2024-04-30 14:07:34,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,16,4,OPEN,2024-05-02 08:44:29,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,2024-05-02 09:55:05,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,2024-05-02 10:35:27,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,17,3,OPEN,2024-05-02 12:06:18,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,17,3,OPEN,2024-05-02 12:16:24,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,19,1,OPEN,2024-05-02 13:16:58,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,15,5,OPEN,2024-05-03 08:45:52,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,14,6,OPEN,2024-05-03 09:44:50,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,14,6,OPEN,2024-05-03 10:25:10,46.565603,15.623133
LIDL - KOROŠKA C.,Koroška cesta 173,False,False,20,16,4,OPEN,2024-05-03 10:55:29,46.565603,15.623133
