name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,2024-04-30 13:42:25,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,2024-04-30 14:07:09,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,15,5,OPEN,2024-05-02 08:45:04,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,17,3,OPEN,2024-05-02 09:55:44,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,17,3,OPEN,2024-05-02 10:36:05,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,12,8,OPEN,2024-05-02 12:06:54,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,13,7,OPEN,2024-05-02 12:17:04,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,11,9,OPEN,2024-05-02 13:17:37,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,2024-05-03 08:49:05,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,2024-05-03 09:49:35,46.560227,15.650781
PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,2024-05-03 10:19:50,46.560227,15.650781
