name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,10,10,OPEN,2024-04-30 13:42:14,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,11,9,OPEN,2024-04-30 14:03:32,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-02 08:45:15,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,3,17,OPEN,2024-05-02 09:55:54,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,0,20,OPEN,2024-05-02 10:36:16,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,0,20,OPEN,2024-05-02 12:07:03,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,0,20,OPEN,2024-05-02 12:17:08,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,0,20,OPEN,2024-05-02 13:17:40,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-03 08:47:53,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-03 09:48:25,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-03 10:18:41,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-03 10:28:46,46.556534,15.647629
PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,False,False,20,2,18,OPEN,2024-05-03 10:59:01,46.556534,15.647629
