name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,10,10,OPEN,2024-04-30 13:41:51,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,10,10,OPEN,2024-04-30 14:02:02,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,19,1,OPEN,2024-05-02 08:50:37,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,20,0,OPEN,2024-05-02 10:01:15,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,19,1,OPEN,2024-05-02 10:31:30,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,2024-05-02 12:12:23,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,16,4,OPEN,2024-05-02 13:12:55,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,19,1,OPEN,2024-05-03 08:50:06,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,20,0,OPEN,2024-05-03 09:50:38,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,20,0,OPEN,2024-05-03 10:20:54,46.542655,15.634329
SPAR - TRŽNICA TABOR,Kardeljeva c. 55,False,False,20,20,0,OPEN,2024-05-03 10:30:59,46.542655,15.634329
