name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,13,7,OPEN,2024-04-30 13:49:41,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,11,9,OPEN,2024-04-30 14:06:00,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,4,16,OPEN,2024-05-02 08:49:21,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,7,13,OPEN,2024-05-02 09:55:18,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,7,13,OPEN,2024-05-02 10:35:39,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,6,14,OPEN,2024-05-02 12:13:02,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,6,14,OPEN,2024-05-02 12:16:40,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,4,16,OPEN,2024-05-02 13:17:19,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,14,6,OPEN,2024-05-03 08:44:33,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,15,5,OPEN,2024-05-03 09:45:06,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,15,5,OPEN,2024-05-03 10:25:27,46.558498,15.64146
STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,False,False,20,16,4,OPEN,2024-05-03 10:55:44,46.558498,15.64146
