name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,13,7,OPEN,2024-04-30 13:48:56,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,15,5,OPEN,2024-04-30 14:05:04,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,1,19,OPEN,2024-05-02 08:44:18,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,1,19,OPEN,2024-05-02 09:54:57,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,0,20,OPEN,2024-05-02 10:35:17,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,5,15,OPEN,2024-05-02 12:06:22,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,6,14,OPEN,2024-05-02 12:19:00,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,6,14,OPEN,2024-05-02 13:19:03,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,10,10,OPEN,2024-05-03 08:44:38,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,9,11,OPEN,2024-05-03 09:45:11,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,9,11,OPEN,2024-05-03 10:25:31,46.557328,15.646833
TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,False,False,20,8,12,OPEN,2024-05-03 11:03:26,46.557328,15.646833
