name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,11,9,OPEN,2024-04-30 13:44:02,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,12,8,OPEN,2024-04-30 14:06:29,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,0,20,OPEN,2024-05-02 08:47:25,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,2,18,OPEN,2024-05-02 09:58:04,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,3,17,OPEN,2024-05-02 10:28:26,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,4,16,OPEN,2024-05-02 12:09:22,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,4,16,OPEN,2024-05-02 12:19:27,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,5,15,OPEN,2024-05-02 13:20:01,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,11,9,OPEN,2024-05-03 08:50:36,46.556731,15.64212
UM FGPA - LENT - SODNI STOLP,Pristan 6,False,False,20,11,9,OPEN,2024-05-03 09:51:07,46.556731,15.64212
