date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.2,96,12.6,13.8,3,0.2,979.5
2024-05-02T01:00,13.1,96,12.5,13.5,25,0.1,978.7
2024-05-02T02:00,12.8,96,12.2,13.2,46,0.0,978.2
2024-05-02T03:00,12.9,97,12.5,13.2,68,0.0,977.8
2024-05-02T04:00,13.0,97,12.6,12.8,50,0.0,977.5
2024-05-02T05:00,13.6,96,12.9,13.4,31,0.0,977.3
2024-05-02T06:00,14.1,94,13.1,13.6,13,0.0,976.8
2024-05-02T07:00,15.1,88,13.1,14.1,23,0.0,977.2
2024-05-02T08:00,16.1,83,13.2,14.7,32,0.0,977.3
2024-05-02T09:00,17.1,73,12.2,15.0,42,0.0,978.3
2024-05-02T10:00,18.6,63,11.4,16.3,47,0.0,977.9
2024-05-02T11:00,19.9,52,9.8,18.0,53,0.0,977.3
2024-05-02T12:00,20.3,51,9.9,18.3,58,0.0,977.1
2024-05-02T13:00,19.3,60,11.3,17.4,48,0.0,976.9
2024-05-02T14:00,20.4,48,9.0,18.5,39,0.0,976.6
2024-05-02T15:00,20.7,47,9.0,18.3,29,0.0,976.2
2024-05-02T16:00,20.1,47,8.4,17.9,19,0.0,975.9
2024-05-02T17:00,19.0,51,8.6,17.3,10,0.0,975.9
2024-05-02T18:00,16.8,48,5.7,14.0,0,0.0,976.9
2024-05-02T19:00,15.1,58,6.9,13.6,3,0.0,977.1
2024-05-02T20:00,13.6,66,7.3,11.3,7,0.0,977.4
2024-05-02T21:00,13.2,68,7.4,11.1,10,0.0,976.9
2024-05-02T22:00,12.6,71,7.5,11.0,14,0.0,977.2
2024-05-02T23:00,12.3,74,7.8,11.4,19,0.0,977.0
2024-05-03T00:00,11.5,80,8.1,10.9,23,0.0,976.5
2024-05-03T01:00,11.2,79,7.7,10.3,24,0.0,976.5
2024-05-03T02:00,10.4,86,8.2,9.4,25,0.0,976.6
2024-05-03T03:00,10.4,87,8.4,9.5,26,0.0,976.8
2024-05-03T04:00,10.4,92,9.1,9.7,33,0.2,977.1
2024-05-03T05:00,10.6,91,9.2,10.0,41,0.1,977.6
2024-05-03T06:00,11.4,90,9.8,11.2,48,0.0,977.9
2024-05-03T07:00,12.7,77,8.8,11.9,60,0.0,978.3
2024-05-03T08:00,13.5,75,9.1,12.0,72,0.0,978.5
2024-05-03T09:00,13.4,77,9.4,11.4,84,0.1,979.2
2024-05-03T10:00,13.8,81,10.6,12.1,87,0.3,979.2
2024-05-03T11:00,14.6,78,10.8,12.6,91,0.3,979.1
2024-05-03T12:00,14.5,75,10.1,12.0,94,0.3,979.0
2024-05-03T13:00,14.0,79,10.4,11.7,95,1.4,979.0
2024-05-03T14:00,13.8,75,9.4,11.4,96,1.3,979.0
2024-05-03T15:00,13.3,78,9.6,11.5,97,2.2,979.2
2024-05-03T16:00,13.3,79,9.7,11.7,94,0.6,979.3
2024-05-03T17:00,13.4,77,9.4,11.5,90,0.3,979.7
2024-05-03T18:00,12.9,81,9.7,11.1,87,0.8,980.6
2024-05-03T19:00,12.6,82,9.6,10.9,80,0.7,981.3
2024-05-03T20:00,12.4,80,9.0,10.5,72,0.4,981.3
2024-05-03T21:00,12.2,78,8.5,10.4,65,0.6,981.5
2024-05-03T22:00,12.1,77,8.2,9.8,56,0.3,981.6
2024-05-03T23:00,12.1,74,7.6,9.6,48,0.3,981.6
2024-05-04T00:00,12.4,72,7.5,10.0,39,0.2,981.5
2024-05-04T01:00,12.5,70,7.2,10.1,43,0.1,981.6
2024-05-04T02:00,12.4,71,7.3,10.1,48,0.3,981.9
2024-05-04T03:00,12.1,74,7.6,9.9,52,0.7,982.3
2024-05-04T04:00,12.0,76,7.9,9.8,43,0.6,982.8
2024-05-04T05:00,11.9,77,8.0,10.0,35,0.8,983.5
2024-05-04T06:00,12.8,74,8.3,11.1,26,0.0,984.1
2024-05-04T07:00,14.5,69,8.9,12.8,22,0.0,984.6
2024-05-04T08:00,16.3,62,9.0,14.6,17,0.0,984.8
2024-05-04T09:00,17.7,57,9.1,16.8,13,0.0,985.0
2024-05-04T10:00,17.9,61,10.3,18.3,19,0.0,985.2
2024-05-04T11:00,18.6,59,10.5,19.5,26,0.0,985.4
2024-05-04T12:00,19.2,58,10.7,19.7,32,0.0,985.2
2024-05-04T13:00,19.9,57,11.2,21.0,32,0.0,985.0
2024-05-04T14:00,20.3,56,11.3,20.9,32,0.0,984.8
2024-05-04T15:00,20.3,55,11.0,19.7,32,0.0,984.5
2024-05-04T16:00,19.6,58,11.2,18.9,29,0.0,984.1
2024-05-04T17:00,18.4,67,12.2,18.4,26,0.0,984.1
2024-05-04T18:00,16.4,74,11.8,16.4,23,0.0,984.1
2024-05-04T19:00,14.7,79,11.1,14.4,19,0.0,984.5
2024-05-04T20:00,13.4,82,10.4,13.1,14,0.0,984.5
2024-05-04T21:00,12.0,86,9.8,11.4,10,0.0,984.5
2024-05-04T22:00,11.0,88,9.1,10.3,7,0.0,984.5
2024-05-04T23:00,10.3,88,8.4,9.3,3,0.0,984.3
2024-05-05T00:00,9.8,88,7.9,8.7,0,0.0,984.2
2024-05-05T01:00,9.3,88,7.5,8.1,1,0.0,984.1
2024-05-05T02:00,8.8,89,7.1,7.6,2,0.0,984.1
2024-05-05T03:00,8.6,88,6.7,7.3,3,0.0,983.7
2024-05-05T04:00,8.9,84,6.4,7.8,3,0.0,983.7
2024-05-05T05:00,10.1,80,6.8,9.2,3,0.0,983.7
2024-05-05T06:00,12.5,88,10.6,12.5,3,0.0,983.7
2024-05-05T07:00,15.1,79,11.5,15.1,4,0.0,983.8
2024-05-05T08:00,17.4,76,13.1,17.2,5,0.0,983.6
2024-05-05T09:00,18.9,66,12.4,18.4,6,0.0,983.1
2024-05-05T10:00,19.6,63,12.4,18.5,16,0.0,982.6
2024-05-05T11:00,20.7,56,11.6,19.0,25,0.0,982.1
2024-05-05T12:00,21.4,52,11.2,20.2,35,0.0,981.5
2024-05-05T13:00,21.7,50,10.8,20.0,39,0.0,980.9
2024-05-05T14:00,21.6,49,10.4,19.3,44,0.0,980.3
2024-05-05T15:00,21.1,49,10.0,18.5,48,0.0,979.9
2024-05-05T16:00,20.1,50,9.3,17.6,44,0.0,979.5
2024-05-05T17:00,18.7,52,8.6,16.5,39,0.0,979.3
