date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.4,94,12.5,13.7,3,0.1,977.2
2024-05-02T01:00,13.4,95,12.6,13.6,25,0.1,976.4
2024-05-02T02:00,13.2,95,12.4,13.5,46,0.0,975.9
2024-05-02T03:00,13.0,97,12.5,13.2,68,0.0,975.4
2024-05-02T04:00,12.6,99,12.5,12.4,50,0.0,975.2
2024-05-02T05:00,13.0,98,12.7,12.6,31,0.0,975.0
2024-05-02T06:00,14.0,92,12.7,13.2,13,0.0,974.3
2024-05-02T07:00,15.2,86,12.8,14.1,23,0.0,974.9
2024-05-02T08:00,16.2,83,13.3,15.1,32,0.0,974.9
2024-05-02T09:00,17.8,66,11.4,16.0,42,0.0,975.9
2024-05-02T10:00,19.3,55,10.0,17.2,47,0.0,975.4
2024-05-02T11:00,20.6,48,9.2,19.3,53,0.0,974.9
2024-05-02T12:00,21.0,46,8.9,19.5,58,0.0,974.7
2024-05-02T13:00,20.1,53,10.2,18.7,48,0.0,974.6
2024-05-02T14:00,20.4,49,9.3,19.5,39,0.0,974.3
2024-05-02T15:00,20.9,46,8.8,18.7,29,0.0,973.9
2024-05-02T16:00,20.5,44,7.8,18.7,19,0.0,973.6
2024-05-02T17:00,19.4,49,8.4,18.2,10,0.0,973.6
2024-05-02T18:00,16.6,47,5.2,14.0,0,0.0,974.5
2024-05-02T19:00,15.6,55,6.6,14.1,3,0.0,974.7
2024-05-02T20:00,13.3,68,7.5,11.5,7,0.0,975.1
2024-05-02T21:00,12.8,71,7.6,11.8,10,0.0,974.6
2024-05-02T22:00,12.5,74,8.0,11.8,14,0.0,974.9
2024-05-02T23:00,11.8,78,8.1,11.0,19,0.0,974.7
2024-05-03T00:00,11.2,77,7.3,10.1,23,0.0,974.1
2024-05-03T01:00,11.4,71,6.3,9.9,24,0.0,974.0
2024-05-03T02:00,10.6,80,7.3,9.3,25,0.0,974.2
2024-05-03T03:00,10.9,79,7.4,9.7,26,0.0,974.5
