date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.2,96,12.6,13.9,3,0.2,980.4
2024-05-02T01:00,13.1,96,12.5,13.5,25,0.1,979.6
2024-05-02T02:00,12.9,96,12.3,13.3,46,0.0,979.1
2024-05-02T03:00,13.0,97,12.5,13.3,68,0.0,978.7
2024-05-02T04:00,13.1,97,12.6,12.9,50,0.0,978.4
2024-05-02T05:00,13.6,96,13.0,13.5,31,0.0,978.2
2024-05-02T06:00,14.1,94,13.2,13.7,13,0.0,977.7
2024-05-02T07:00,15.1,88,13.2,14.1,23,0.0,978.2
2024-05-02T08:00,16.2,83,13.3,14.8,32,0.0,978.2
2024-05-02T09:00,17.1,73,12.2,15.1,42,0.0,979.2
2024-05-02T10:00,18.6,63,11.4,16.4,47,0.0,978.8
2024-05-02T11:00,20.0,52,9.8,18.1,53,0.0,978.2
2024-05-02T12:00,20.4,51,9.9,18.3,58,0.0,978.0
2024-05-02T13:00,19.3,60,11.4,17.5,48,0.0,977.8
2024-05-02T14:00,20.5,48,9.1,18.5,39,0.0,977.5
2024-05-02T15:00,20.7,47,9.0,18.3,29,0.0,977.1
2024-05-02T16:00,20.1,47,8.5,18.0,19,0.0,976.8
2024-05-02T17:00,19.0,51,8.7,17.4,10,0.0,976.8
2024-05-02T18:00,16.8,48,5.8,14.0,0,0.0,977.9
2024-05-02T19:00,15.2,58,7.0,13.6,3,0.0,978.0
2024-05-02T20:00,13.6,66,7.4,11.3,7,0.0,978.3
2024-05-02T21:00,13.2,68,7.4,11.2,10,0.0,977.8
2024-05-02T22:00,12.7,71,7.6,11.1,14,0.0,978.1
2024-05-02T23:00,12.3,74,7.8,11.5,19,0.0,977.9
2024-05-03T00:00,11.5,80,8.2,10.9,23,0.0,977.4
2024-05-03T01:00,11.3,79,7.8,10.4,24,0.0,977.4
2024-05-03T02:00,10.5,86,8.2,9.4,25,0.0,977.5
2024-05-03T03:00,10.5,87,8.4,9.6,26,0.0,977.7
2024-05-03T04:00,10.4,92,9.2,9.7,33,0.2,978.1
2024-05-03T05:00,10.6,91,9.2,10.1,41,0.1,978.6
2024-05-03T06:00,11.5,90,9.9,11.2,48,0.0,978.9
2024-05-03T07:00,12.8,77,8.8,11.9,60,0.0,979.2
2024-05-03T08:00,13.5,75,9.2,12.1,72,0.0,979.5
2024-05-03T09:00,13.4,77,9.5,11.5,84,0.1,980.1
2024-05-03T10:00,13.8,81,10.6,12.1,87,0.3,980.2
2024-05-03T11:00,14.6,78,10.8,12.7,91,0.3,980.1
2024-05-03T12:00,14.5,75,10.1,12.1,94,0.3,980.0
2024-05-03T13:00,14.1,79,10.5,11.8,95,1.4,979.9
2024-05-03T14:00,13.8,75,9.5,11.5,96,1.3,979.9
2024-05-03T15:00,13.4,78,9.6,11.5,97,2.2,980.1
2024-05-03T16:00,13.3,79,9.8,11.7,94,0.6,980.2
2024-05-03T17:00,13.4,77,9.5,11.6,90,0.3,980.6
2024-05-03T18:00,13.0,81,9.8,11.2,87,0.8,981.5
2024-05-03T19:00,12.6,82,9.6,10.9,80,0.7,982.2
2024-05-03T20:00,12.4,80,9.1,10.6,72,0.4,982.3
2024-05-03T21:00,12.3,78,8.6,10.4,65,0.6,982.4
2024-05-03T22:00,12.1,77,8.2,9.9,56,0.3,982.5
2024-05-03T23:00,12.2,74,7.7,9.6,48,0.3,982.5
2024-05-04T00:00,12.4,72,7.5,10.0,39,0.2,982.5
2024-05-04T01:00,12.5,70,7.2,10.2,43,0.1,982.6
2024-05-04T02:00,12.5,71,7.4,10.2,48,0.3,982.9
2024-05-04T03:00,12.2,74,7.7,9.9,52,0.7,983.2
2024-05-04T04:00,12.0,76,7.9,9.9,43,0.6,983.8
2024-05-04T05:00,12.0,77,8.1,10.1,35,0.8,984.5
2024-05-04T06:00,12.9,74,8.4,11.2,26,0.0,985.0
2024-05-04T07:00,14.5,69,8.9,12.9,22,0.0,985.5
