date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.5,94,12.6,13.9,3,0.1,979.3
2024-05-02T01:00,13.5,95,12.7,13.8,25,0.1,978.5
2024-05-02T02:00,13.3,95,12.5,13.6,46,0.0,978.0
2024-05-02T03:00,13.1,97,12.6,13.3,68,0.0,977.5
2024-05-02T04:00,12.7,99,12.6,12.6,50,0.0,977.3
2024-05-02T05:00,13.1,98,12.8,12.8,31,0.0,977.1
2024-05-02T06:00,14.1,92,12.8,13.4,13,0.0,976.4
2024-05-02T07:00,15.3,86,12.9,14.2,23,0.0,976.9
2024-05-02T08:00,16.3,83,13.4,15.2,32,0.0,976.9
2024-05-02T09:00,17.9,66,11.5,16.2,42,0.0,978.0
2024-05-02T10:00,19.4,55,10.1,17.3,47,0.0,977.5
2024-05-02T11:00,20.7,48,9.3,19.4,53,0.0,976.9
2024-05-02T12:00,21.1,46,9.0,19.6,58,0.0,976.8
2024-05-02T13:00,20.2,53,10.3,18.9,48,0.0,976.7
2024-05-02T14:00,20.5,49,9.4,19.6,39,0.0,976.3
2024-05-02T15:00,21.0,46,8.9,18.9,29,0.0,976.0
2024-05-02T16:00,20.6,44,7.9,18.9,19,0.0,975.6
2024-05-02T17:00,19.5,49,8.5,18.4,10,0.0,975.6
2024-05-02T18:00,16.7,47,5.4,14.2,0,0.0,976.6
2024-05-02T19:00,15.7,55,6.7,14.2,3,0.0,976.8
2024-05-02T20:00,13.4,68,7.6,11.6,7,0.0,977.2
2024-05-02T21:00,12.9,71,7.7,11.9,10,0.0,976.7
2024-05-02T22:00,12.6,74,8.1,12.0,14,0.0,977.0
2024-05-02T23:00,11.9,78,8.2,11.1,19,0.0,976.8
2024-05-03T00:00,11.3,77,7.4,10.3,23,0.0,976.2
2024-05-03T01:00,11.5,71,6.4,10.0,24,0.0,976.2
2024-05-03T02:00,10.7,80,7.4,9.5,25,0.0,976.4
2024-05-03T03:00,11.0,79,7.5,9.9,26,0.0,976.6
2024-05-03T04:00,10.8,85,8.4,10.0,33,0.1,976.9
2024-05-03T05:00,11.3,83,8.5,10.6,41,0.1,977.4
2024-05-03T06:00,11.7,83,8.9,11.1,48,0.0,977.7
2024-05-03T07:00,12.8,78,9.1,12.3,60,0.0,978.0
2024-05-03T08:00,13.9,74,9.3,12.9,72,0.0,978.3
2024-05-03T09:00,13.5,74,9.0,11.8,84,0.1,979.0
2024-05-03T10:00,13.9,79,10.3,12.4,87,0.5,979.0
2024-05-03T11:00,14.8,76,10.6,13.2,91,0.4,978.9
2024-05-03T12:00,14.6,74,10.0,12.4,94,0.2,978.9
2024-05-03T13:00,14.1,76,9.9,12.0,95,1.2,978.9
2024-05-03T14:00,13.7,74,9.2,11.4,96,1.1,978.9
2024-05-03T15:00,13.3,77,9.3,11.5,97,1.3,979.1
2024-05-03T16:00,13.3,77,9.3,11.5,94,0.5,979.2
2024-05-03T17:00,13.4,75,9.0,11.5,90,0.5,979.6
2024-05-03T18:00,13.2,77,9.2,11.5,87,0.8,980.5
2024-05-03T19:00,12.7,80,9.3,11.1,80,1.1,981.1
2024-05-03T20:00,12.5,77,8.6,10.7,72,0.6,981.2
2024-05-03T21:00,12.3,76,8.2,10.6,65,0.6,981.4
2024-05-03T22:00,12.3,74,7.8,10.2,56,0.4,981.5
2024-05-03T23:00,12.4,72,7.5,9.9,48,0.4,981.5
2024-05-04T00:00,12.5,70,7.2,10.0,39,0.3,981.4
2024-05-04T01:00,12.6,69,7.1,10.3,43,0.1,981.5
2024-05-04T02:00,12.5,70,7.2,10.1,48,0.2,981.8
2024-05-04T03:00,12.3,72,7.4,10.0,52,0.6,982.1
2024-05-04T04:00,12.0,75,7.7,9.8,43,1.8,982.7
2024-05-04T05:00,11.9,76,7.8,9.8,35,0.7,983.3
2024-05-04T06:00,12.8,74,8.3,10.9,26,0.1,983.9
2024-05-04T07:00,14.3,69,8.7,12.6,22,0.0,984.4
2024-05-04T08:00,16.2,62,8.9,14.6,17,0.0,984.6
2024-05-04T09:00,17.7,56,8.8,16.7,13,0.0,984.8
2024-05-04T10:00,17.9,61,10.3,18.2,19,0.0,985.0
2024-05-04T11:00,18.6,59,10.5,19.5,26,0.0,985.1
2024-05-04T12:00,19.2,58,10.7,19.7,32,0.0,985.0
2024-05-04T13:00,19.9,57,11.2,21.0,32,0.0,984.8
2024-05-04T14:00,20.3,56,11.3,20.9,32,0.0,984.5
2024-05-04T15:00,20.3,55,11.0,19.7,32,0.0,984.2
2024-05-04T16:00,19.6,58,11.1,18.9,29,0.0,983.9
2024-05-04T17:00,18.4,67,12.2,18.4,26,0.0,983.9
2024-05-04T18:00,16.4,74,11.8,16.4,23,0.0,983.8
2024-05-04T19:00,14.7,79,11.1,14.4,19,0.0,984.2
2024-05-04T20:00,13.4,82,10.4,13.1,14,0.0,984.3
2024-05-04T21:00,12.0,86,9.8,11.4,10,0.0,984.3
2024-05-04T22:00,11.0,88,9.1,10.2,7,0.0,984.2
2024-05-04T23:00,10.3,88,8.4,9.3,3,0.0,984.1
2024-05-05T00:00,9.8,88,7.9,8.6,0,0.0,983.9
2024-05-05T01:00,9.3,88,7.4,8.1,1,0.0,983.9
2024-05-05T02:00,8.8,89,7.1,7.6,2,0.0,983.8
2024-05-05T03:00,8.6,88,6.7,7.3,3,0.0,983.5
2024-05-05T04:00,8.9,84,6.4,7.8,3,0.0,983.4
2024-05-05T05:00,10.1,80,6.8,9.1,3,0.0,983.5
2024-05-05T06:00,12.5,88,10.5,12.5,3,0.0,983.4
2024-05-05T07:00,15.1,79,11.5,15.0,4,0.0,983.6
2024-05-05T08:00,17.4,76,13.1,17.1,5,0.0,983.4
2024-05-05T09:00,18.9,66,12.4,18.3,6,0.0,982.8
2024-05-05T10:00,19.6,63,12.4,18.4,16,0.0,982.3
2024-05-05T11:00,20.7,56,11.6,19.0,25,0.0,981.9
2024-05-05T12:00,21.4,52,11.2,20.2,35,0.0,981.2
2024-05-05T13:00,21.7,50,10.8,20.0,39,0.0,980.7
2024-05-05T14:00,21.6,49,10.4,19.3,44,0.0,980.1
2024-05-05T15:00,21.1,49,10.0,18.5,48,0.0,979.7
2024-05-05T16:00,20.1,50,9.3,17.6,44,0.0,979.3
2024-05-05T17:00,18.7,52,8.6,16.5,39,0.0,979.0
2024-05-05T18:00,17.2,55,8.1,15.3,35,0.0,978.9
2024-05-05T19:00,15.8,60,8.0,14.1,31,0.0,978.8
2024-05-05T20:00,14.3,66,8.1,12.9,27,0.0,979.0
2024-05-05T21:00,13.3,70,7.9,12.0,23,0.0,979.1
2024-05-05T22:00,12.9,70,7.5,11.5,21,0.0,979.2
2024-05-05T23:00,12.8,69,7.3,11.4,18,0.0,979.3
2024-05-06T00:00,12.7,69,7.1,11.2,16,0.0,979.5
2024-05-06T01:00,12.1,72,7.2,10.7,16,0.0,979.6
2024-05-06T02:00,11.5,77,7.6,10.3,16,0.0,979.7
2024-05-06T03:00,11.2,81,8.1,10.3,16,0.0,980.0
2024-05-06T04:00,11.6,86,9.4,11.3,16,0.0,980.3
2024-05-06T05:00,12.5,90,10.9,12.6,16,0.0,980.8
2024-05-06T06:00,13.6,91,12.1,13.9,16,0.0,981.3
2024-05-06T07:00,15.2,84,12.5,15.6,14,0.0,981.9
2024-05-06T08:00,17.1,73,12.2,17.3,12,0.0,982.5
2024-05-06T09:00,18.6,65,11.9,18.6,10,0.0,982.8
2024-05-06T10:00,19.4,62,11.9,19.8,16,0.0,982.9
2024-05-06T11:00,19.8,63,12.5,20.5,23,0.0,982.7
2024-05-06T12:00,20.0,64,13.0,20.8,29,0.0,982.6
2024-05-06T13:00,20.2,67,13.9,21.1,27,0.0,982.4
2024-05-06T14:00,20.1,71,14.7,21.1,25,0.0,982.1
2024-05-06T15:00,19.8,75,15.3,21.0,23,0.0,982.0
2024-05-06T16:00,19.1,79,15.4,20.2,21,0.0,981.9
2024-05-06T17:00,18.1,83,15.1,19.0,18,0.0,982.0
2024-05-06T18:00,17.0,86,14.6,17.6,16,0.0,982.1
2024-05-06T19:00,15.8,89,14.0,16.4,15,0.0,982.3
2024-05-06T20:00,14.6,91,13.1,15.0,14,0.0,982.8
2024-05-06T21:00,13.5,93,12.4,13.7,13,0.0,983.1
2024-05-06T22:00,12.6,95,11.9,12.8,12,0.0,983.3
2024-05-06T23:00,12.0,96,11.4,12.0,11,0.0,983.4
2024-05-07T00:00,11.5,97,11.0,11.4,10,0.0,983.4
2024-05-07T01:00,11.2,97,10.7,11.0,10,0.0,983.4
2024-05-07T02:00,11.1,97,10.6,10.8,10,0.0,983.3
2024-05-07T03:00,11.3,96,10.7,11.1,10,0.0,983.3
2024-05-07T04:00,12.1,95,11.3,12.1,9,0.0,983.7
2024-05-07T05:00,13.2,93,12.1,13.5,7,0.0,984.1
2024-05-07T06:00,14.0,92,12.7,14.4,6,0.0,984.5
2024-05-07T07:00,14.8,85,12.3,15.3,7,0.0,984.5
2024-05-07T08:00,16.0,84,13.3,16.4,9,0.0,984.8
2024-05-07T09:00,16.7,84,13.9,17.1,10,0.0,984.9
2024-05-07T10:00,16.5,87,14.3,17.0,20,2.9,985.2
2024-05-07T11:00,15.8,91,14.3,16.2,29,2.9,985.5
2024-05-07T12:00,15.2,93,14.1,15.3,39,2.9,985.9
2024-05-07T13:00,14.9,92,13.6,14.5,39,2.9,986.2
2024-05-07T14:00,14.6,88,12.6,13.6,39,2.9,986.5
2024-05-07T15:00,14.3,85,11.8,13.0,39,2.9,986.8
2024-05-07T16:00,13.9,83,11.1,12.5,41,0.0,987.2
2024-05-07T17:00,13.6,80,10.2,12.2,43,0.0,987.4
2024-05-07T18:00,13.3,78,9.5,11.8,45,0.0,987.8
2024-05-07T19:00,13.0,76,8.8,11.4,42,0.0,988.1
2024-05-07T20:00,12.7,74,8.1,11.0,38,0.0,988.5
2024-05-07T21:00,12.4,73,7.7,10.7,35,0.0,988.7
2024-05-07T22:00,12.0,75,7.7,10.6,34,0.1,988.7
2024-05-07T23:00,11.6,79,8.1,10.5,33,0.1,988.6
2024-05-08T00:00,11.3,82,8.3,10.3,32,0.1,988.4
2024-05-08T01:00,11.1,83,8.3,10.0,30,0.0,988.2
2024-05-08T02:00,10.9,83,8.1,9.7,28,0.0,988.1
2024-05-08T03:00,10.9,84,8.3,9.7,26,0.0,988.0
2024-05-08T04:00,11.1,85,8.7,10.1,27,0.4,988.2
2024-05-08T05:00,11.5,87,9.4,10.7,28,0.4,988.5
2024-05-08T06:00,11.9,88,10.0,11.4,29,0.4,988.8
