date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.0,97,12.5,13.4,3,0.1,976.4
2024-05-02T01:00,12.7,99,12.5,13.0,25,0.1,975.6
2024-05-02T02:00,12.4,99,12.2,12.6,46,0.0,975.1
2024-05-02T03:00,12.0,100,12.0,11.9,68,0.0,974.7
2024-05-02T04:00,12.2,100,12.2,11.6,50,0.0,974.4
2024-05-02T05:00,12.7,99,12.5,12.1,31,0.0,974.3
2024-05-02T06:00,14.0,92,12.7,13.3,13,0.0,973.7
2024-05-02T07:00,15.1,87,12.9,13.8,23,0.0,974.2
2024-05-02T08:00,16.0,83,13.1,14.7,32,0.0,974.3
2024-05-02T09:00,17.3,69,11.5,15.2,42,0.0,975.3
2024-05-02T10:00,18.9,60,10.9,17.2,47,0.0,974.9
2024-05-02T11:00,20.1,51,9.6,18.3,53,0.0,974.2
2024-05-02T12:00,20.0,52,9.8,17.7,58,0.0,974.0
2024-05-02T13:00,19.4,57,10.7,16.9,48,0.0,973.8
2024-05-02T14:00,20.6,41,6.9,18.2,39,0.0,973.6
2024-05-02T15:00,20.5,47,8.8,18.4,29,0.0,973.3
2024-05-02T16:00,19.8,48,8.5,17.5,19,0.0,972.8
2024-05-02T17:00,18.7,51,8.3,17.1,10,0.0,972.9
2024-05-02T18:00,16.2,49,5.5,14.0,0,0.0,974.0
2024-05-02T19:00,14.4,62,7.2,12.8,3,0.0,974.1
2024-05-02T20:00,13.0,68,7.3,10.8,7,0.0,974.3
2024-05-02T21:00,12.6,70,7.3,10.9,10,0.0,973.9
2024-05-02T22:00,11.9,74,7.4,10.6,14,0.0,974.2
2024-05-02T23:00,11.4,70,6.1,9.9,19,0.0,973.8
2024-05-03T00:00,11.7,66,5.6,10.3,23,0.0,973.4
2024-05-03T01:00,10.5,81,7.4,9.5,24,0.0,973.3
2024-05-03T02:00,10.5,85,8.1,9.7,25,0.0,973.4
2024-05-03T03:00,10.6,84,8.0,9.9,26,0.0,973.7
2024-05-03T04:00,10.3,85,7.9,9.1,33,0.2,974.1
2024-05-03T05:00,10.4,92,9.1,10.0,41,0.2,974.6
2024-05-03T06:00,11.2,90,9.6,10.7,48,0.0,974.9
2024-05-03T07:00,12.2,83,9.4,11.5,60,0.0,975.2
2024-05-03T08:00,13.6,74,9.0,12.2,72,0.0,975.5
2024-05-03T09:00,13.5,74,9.0,11.6,84,0.1,976.1
2024-05-03T10:00,13.5,79,10.0,11.7,87,0.3,976.2
2024-05-03T11:00,14.4,77,10.4,12.5,91,0.3,976.1
2024-05-03T12:00,14.5,72,9.5,11.6,94,0.4,976.0
2024-05-03T13:00,13.7,77,9.8,11.2,95,1.2,976.0
2024-05-03T14:00,13.3,75,8.9,10.3,96,1.2,976.0
2024-05-03T15:00,12.9,76,8.8,10.3,97,2.5,976.1
2024-05-03T16:00,13.0,76,8.8,10.5,94,0.9,976.3
2024-05-03T17:00,13.0,75,8.7,10.2,90,0.4,976.6
2024-05-03T18:00,12.8,78,9.1,10.7,87,0.7,977.7
2024-05-03T19:00,12.5,79,8.9,10.1,80,0.8,978.2
2024-05-03T20:00,12.4,75,8.1,9.6,72,0.5,978.3
2024-05-03T21:00,12.2,74,7.7,9.6,65,0.7,978.5
2024-05-03T22:00,12.1,73,7.4,9.3,56,0.3,978.6
2024-05-03T23:00,12.2,71,7.1,9.2,48,0.3,978.6
2024-05-04T00:00,12.4,69,6.9,9.1,39,0.1,978.4
2024-05-04T01:00,12.6,67,6.6,9.4,43,0.2,978.6
2024-05-04T02:00,12.5,67,6.6,9.2,48,0.3,978.8
